,instance_id,k,n,m,obj_greedy,time_greedy,obj_mip,time_mip,obj_qp,time_qp,mip_ratio,qp_ratio
0,1,1,3,10,73.20159804985553,0.0017933950293809175,25.087592283113622,0.0404016780667007,4.220153046870675,0.005878712981939316,2.9178407088163376,17.3457211709741
1,2,1,3,10,20.01966602430201,0.0019671679474413395,13.144602468165237,0.013478401000611484,4.378126898623819,0.0050961090018972754,1.5230332049057709,4.5726554957999985
2,3,1,3,10,52.101098453262026,0.0018297909991815686,21.332747215694198,0.011987974983640015,5.700777370930884,0.004459365038201213,2.442306090559775,9.13929716303838
3,4,1,3,10,51.03658004085818,0.0014812840381637216,31.454803309162877,0.013704621000215411,6.562088178136026,0.0052249530563130975,1.6225369314578126,7.777490740052083
4,5,1,3,10,23.03550713345201,0.001769026042893529,12.67807650566101,0.012151814065873623,5.5460700436045105,0.004710471956059337,1.8169559966897348,4.1534829081388125
5,6,1,3,10,27.342491520979657,0.0017682069446891546,25.11057537659076,0.01184331497643143,4.514587145696811,0.0049809199990704656,1.0888835126601517,6.056476625341438
6,7,1,3,10,46.2485664255027,0.0018006449099630117,22.05496883392334,0.012095761951059103,5.105981763198231,0.004715341958217323,2.096968115156279,9.057722602701585
7,8,1,3,10,14.830480584777845,0.001768705085851252,14.830480584777845,0.014418696984648705,4.8242940918302795,0.005003981990739703,1.0,3.0741244838063633
8,9,1,3,10,12.564846674452056,0.0017777560278773308,12.56484667445203,0.01297527295537293,3.6819561132469882,0.004936881014145911,1.0000000000000022,3.4125465616621806
9,10,1,3,10,26.345579067210686,0.0017693579429760575,25.339302553448874,0.014438839047215879,5.266196811900415,0.004923188011161983,1.039712084089104,5.002771451244592
10,11,1,3,10,19.873313653258702,0.0017806169344112277,13.512183020046423,0.01207656494807452,4.979154805575773,0.004786077071912587,1.4707700172337086,3.9913026265028164
11,12,1,3,10,87.39978107022685,0.0017662219470366836,31.605800114397262,0.013018851983360946,6.622732102093063,0.004972425987944007,2.7653082900569883,13.196937415391577
12,13,1,3,10,54.940602602451115,0.001769151072949171,24.280036744657448,0.013584515079855919,3.9799310650058293,0.004871582030318677,2.2627891044909636,13.804410605380836
13,14,1,3,10,95.52790689013923,0.001642622984945774,29.29232013940333,0.012600151007063687,5.451893399289217,0.004869512980803847,3.2611929145768612,17.521968955334593
14,15,1,3,10,38.070785388602715,0.001773495925590396,27.094567488994556,0.013265415909700096,5.699098570246249,0.004863540991209447,1.4051076993226244,6.680141590700323
15,16,1,3,10,14.270921954946068,0.0015984459314495325,14.270921954946065,0.015449844999238849,3.9015200835761226,0.004879292915575206,1.0000000000000002,3.6577850810049863
16,17,1,3,10,55.71807101598095,0.0017640599980950356,33.917476177215576,0.01177958701737225,4.629141935136545,0.004969641100615263,1.6427540399780733,12.036371275001194
17,18,1,3,10,41.14492536259532,0.001776008983142674,33.90394186084928,0.014273534994572401,3.739323895804599,0.004850944969803095,1.2135734992545986,11.003306081283466
18,19,1,3,10,53.49329580697475,0.0017687820363789797,18.08041920442107,0.013007984030991793,3.3257084749959898,0.004886552924290299,2.958631390244228,16.08478199732743
19,20,1,3,10,35.7451022411263,0.0017769599799066782,17.04156918708659,0.014432013034820557,4.264568119214303,0.004889169940724969,2.097524109940092,8.381880941255059
20,21,1,3,10,77.33770148686922,0.0017628170317038894,21.95859013370233,0.01193092402536422,5.419846322301587,0.004944668035022914,3.5219793718983037,14.269353204470024
21,22,1,3,10,45.17002977620585,0.0017770960694178939,20.75378245877581,0.013257026905193925,3.6321221080887,0.004786901990883052,2.1764721619265863,12.436264099054556
22,23,1,3,10,81.9353437272802,0.001685147057287395,18.908381915378683,0.013174160034395754,6.279021379102831,0.004854148020967841,4.333281615210026,13.049062709034352
23,24,1,3,10,87.56237949986397,0.0017627500928938389,37.98733992997089,0.012666449998505414,5.490017430381921,0.004806251963600516,2.305041091618522,15.94938096467438
24,25,1,3,10,22.85939439413553,0.0016410939861088991,11.05825990233862,0.015261247986927629,3.9717688055996465,0.004874899983406067,2.067178253723372,5.755469543420285
25,26,1,3,10,95.25871696562143,0.001778320991434157,25.487666643147293,0.011876721982844174,6.472238541174939,0.004714342998340726,3.7374436153508404,14.71804791489169
26,27,1,3,10,40.48696875611349,0.0015759520465508103,19.166866276810644,0.013819686020724475,3.1286194655421657,0.004893654026091099,2.112341588415908,12.940841544338282
27,28,1,3,10,21.96877118927224,0.0017684149788692594,17.74195221989254,0.01177160197403282,3.9635879496043507,0.004788303980603814,1.2382386626337842,5.542647588144268
28,29,1,3,10,4.907675271079584,0.002456831978634,3.849881822874514,0.014402820961549878,1.46077619150242,0.00492761901114136,1.2747599788440436,3.3596353086998225
29,30,1,3,10,84.86969077676127,0.0017640420701354742,36.37369218667017,0.013337375014089048,7.9101185028675225,0.004978107986971736,2.333271264880374,10.729256552350623
30,31,2,3,10,14.429081320767198,0.002100954996421933,9.979268968494805,0.018638031906448305,2.6393288584777297,0.030538117047399282,1.445905643621866,5.466950916108792
31,32,2,3,10,10.264565500505414,0.0021199790062382817,7.11178825650785,0.012210075045004487,2.6429139381544253,0.04525705601554364,1.443317085700987,3.883806185408091
32,33,2,3,10,26.073133387756666,0.0019445359939709306,19.637149973664233,0.019285440910607576,2.2330585874699795,0.04795827006455511,1.3277452900611268,11.675973722345153
33,34,2,3,10,30.563602687149185,0.0019882069900631905,30.563602687149185,0.018335442058742046,3.735374608774452,0.03616732498630881,1.0,8.182205504999368
